Confirmed Category,Obesity,Meat,Fruits - Excluding Wine,"Fish, Seafood",Animal Products,Vegetal Products
Sangat Tidak Banyak,10.484375000000002,10.01032727272727,0.7477060606060606,0.997418181818182,17.43062727272727,32.5695090909091
Tidak Banyak,14.187499999999998,7.769187499999998,0.46966562500000003,0.8197375000000001,16.45835,33.542409375000005
Sedang,20.596875000000004,8.822712500000002,0.526259375,0.8466250000000001,21.883681250000006,28.115884375000004
Cukup Banyak,22.381250000000005,9.434040624999998,0.39297187499999997,0.4886406250000001,23.5098,26.491209375
Sangat Banyak,24.812499999999996,10.779006250000002,0.6106343750000001,0.8782125000000001,24.541656250000006,25.457865624999997
